t,y,vy,ay,Unnamed: 4
5.983,,,,
6.0,-3.749,-0.08834,0.0,
6.017,,,,
6.033,,,,
6.05,,,,
6.067,,,,
6.083,,,,
6.1,,,,
6.117,,,,
6.133,,,,
6.15,,,,
6.167,,,,
6.183,,,,
6.2,,,,
6.217,,,,
6.233,,,,
6.25,,,,
6.267,,,,
6.283,,,,
6.3,,,,
6.317,,,,
6.333,,,,
6.35,,,,
6.367,,,,
6.383,,,,
6.4,,,,
6.417,,,,
6.433,,,,
6.45,,,,
6.467,,,,
6.483,,,,
6.5,,,,
6.517,,,,
6.533,,,,
6.55,,,,
6.567,,,,
6.583,,,,
6.6,,,,
6.617,,,,
6.633,,,,
6.65,,,,
6.667,-3.789,-0.07361,0.01893,
6.683,,,,
6.7,,,,
6.717,,,,
6.733,,,,
6.75,,,,
6.767,,,,
6.783,,,,
6.8,,,,
6.817,,,,
6.833,,,,
6.85,,,,
6.867,,,,
6.883,,,,
6.9,,,,
6.917,,,,
6.933,,,,
6.95,,,,
6.967,,,,
6.983,,,,
7.0,,,,
7.017,,,,
7.033,,,,
7.05,,,,
7.067,,,,
7.083,,,,
7.1,,,,
7.117,,,,
7.133,,,,
7.15,,,,
7.167,,,,
7.183,,,,
7.2,,,,
7.217,,,,
7.233,,,,
7.25,,,,
7.267,,,,
7.283,,,,
7.3,,,,
7.317,,,,
7.333,-3.848,-0.07361,0.03155,
7.35,,,,
7.367,,,,
7.383,,,,
7.4,,,,
7.417,,,,
7.433,,,,
7.45,,,,
7.467,,,,
7.483,,,,
7.5,,,,
7.517,,,,
7.533,,,,
7.55,,,,
7.567,,,,
7.583,,,,
7.6,,,,
7.617,,,,
7.633,,,,
7.65,,,,
7.667,,,,
7.683,,,,
7.7,,,,
7.717,,,,
7.733,,,,
7.75,,,,
7.767,,,,
7.783,,,,
7.8,,,,
7.817,,,,
7.833,,,,
7.85,,,,
7.867,,,,
7.883,,,,
7.9,,,,
7.917,,,,
7.933,,,,
7.95,,,,
7.967,,,,
7.983,,,,
8.0,-3.887,-0.02945,0.05048,
8.017,,,,
8.033,,,,
8.05,,,,
8.067,,,,
8.083,,,,
8.1,,,,
8.117,,,,
8.133,,,,
8.15,,,,
8.167,,,,
8.183,,,,
8.2,,,,
8.217,,,,
8.233,,,,
8.25,,,,
8.267,,,,
8.283,,,,
8.3,,,,
8.317,,,,
8.333,,,,
8.35,,,,
8.367,,,,
8.383,,,,
8.4,,,,
8.417,,,,
8.433,,,,
8.45,,,,
8.467,,,,
8.483,,,,
8.5,,,,
8.517,,,,
8.533,,,,
8.55,,,,
8.567,,,,
8.583,,,,
8.6,,,,
8.617,,,,
8.633,,,,
8.65,,,,
8.667,-3.887,0.0,0.0,
8.683,,,,
8.7,,,,
8.717,,,,
8.733,,,,
8.75,,,,
8.767,,,,
8.783,,,,
8.8,,,,
8.817,,,,
8.833,,,,
8.85,,,,
8.867,,,,
8.883,,,,
8.9,,,,
8.917,,,,
8.933,,,,
8.95,,,,
8.967,,,,
8.983,,,,
9.0,,,,
9.017,,,,
9.033,,,,
9.05,,,,
9.067,,,,
9.083,,,,
9.1,,,,
9.117,,,,
9.133,,,,
9.15,,,,
9.167,,,,
9.183,,,,
9.2,,,,
9.217,,,,
9.233,,,,
9.25,,,,
9.267,,,,
9.283,,,,
9.3,,,,
9.317,,,,
9.333,-3.887,-0.02945,-0.05048,
9.35,,,,
9.367,,,,
9.383,,,,
9.4,,,,
9.417,,,,
9.433,,,,
9.45,,,,
9.467,,,,
9.483,,,,
9.5,,,,
9.517,,,,
9.533,,,,
9.55,,,,
9.567,,,,
9.583,,,,
9.6,,,,
9.617,,,,
9.633,,,,
9.65,,,,
9.667,,,,
9.683,,,,
9.7,,,,
9.717,,,,
9.733,,,,
9.75,,,,
9.767,,,,
9.783,,,,
9.8,,,,
9.817,,,,
9.833,,,,
9.85,,,,
9.867,,,,
9.883,,,,
9.9,,,,
9.917,,,,
9.933,,,,
9.95,,,,
9.967,,,,
9.983,,,,
10.0,-3.926,-0.07361,-0.01893,
10.017,,,,
10.033,,,,
10.05,,,,
10.067,,,,
10.083,,,,
10.1,,,,
10.117,,,,
10.133,,,,
10.15,,,,
10.167,,,,
10.183,,,,
10.2,,,,
10.217,,,,
10.233,,,,
10.25,,,,
10.267,,,,
10.283,,,,
10.3,,,,
10.317,,,,
10.333,,,,
10.35,,,,
10.367,,,,
10.383,,,,
10.4,,,,
10.417,,,,
10.433,,,,
10.45,,,,
10.467,,,,
10.483,,,,
10.5,,,,
10.517,,,,
10.533,,,,
10.55,,,,
10.567,,,,
10.583,,,,
10.6,,,,
10.617,,,,
10.633,,,,
10.65,,,,
10.667,-3.985,-0.05889,0.01262,
10.683,,,,
10.7,,,,
10.717,,,,
10.733,,,,
10.75,,,,
10.767,,,,
10.783,,,,
10.8,,,,
10.817,,,,
10.833,,,,
10.85,,,,
10.867,,,,
10.883,,,,
10.9,,,,
10.917,,,,
10.933,,,,
10.95,,,,
10.967,,,,
10.983,,,,
11.0,,,,
11.017,,,,
11.033,,,,
11.05,,,,
11.067,,,,
11.083,,,,
11.1,,,,
11.117,,,,
11.133,,,,
11.15,,,,
11.167,,,,
11.183,,,,
11.2,,,,
11.217,,,,
11.233,,,,
11.25,,,,
11.267,,,,
11.283,,,,
11.3,,,,
11.317,,,,
11.333,-4.005,-0.04417,0.00631,
11.35,,,,
11.367,,,,
11.383,,,,
11.4,,,,
11.417,,,,
11.433,,,,
11.45,,,,
11.467,,,,
11.483,,,,
11.5,,,,
11.517,,,,
11.533,,,,
11.55,,,,
11.567,,,,
11.583,,,,
11.6,,,,
11.617,,,,
11.633,,,,
11.65,,,,
11.667,,,,
11.683,,,,
11.7,,,,
11.717,,,,
11.733,,,,
11.75,,,,
11.767,,,,
11.783,,,,
11.8,,,,
11.817,,,,
11.833,,,,
11.85,,,,
11.867,,,,
11.883,,,,
11.9,,,,
11.917,,,,
11.933,,,,
11.95,,,,
11.967,,,,
11.983,,,,
12.0,-4.044,-0.05889,-0.02524,
12.017,,,,
12.033,,,,
12.05,,,,
12.067,,,,
12.083,,,,
12.1,,,,
12.117,,,,
12.133,,,,
12.15,,,,
12.167,,,,
12.183,,,,
12.2,,,,
12.217,,,,
12.233,,,,
12.25,,,,
12.267,,,,
12.283,,,,
12.3,,,,
12.317,,,,
12.333,,,,
12.35,,,,
12.367,,,,
12.383,,,,
12.4,,,,
12.417,,,,
12.433,,,,
12.45,,,,
12.467,,,,
12.483,,,,
12.5,,,,
12.517,,,,
12.533,,,,
12.55,,,,
12.567,,,,
12.583,,,,
12.6,,,,
12.617,,,,
12.633,,,,
12.65,,,,
12.667,-4.083,-0.07361,0.00631,
12.683,,,,
12.7,,,,
12.717,,,,
12.733,,,,
12.75,,,,
12.767,,,,
12.783,,,,
12.8,,,,
12.817,,,,
12.833,,,,
12.85,,,,
12.867,,,,
12.883,,,,
12.9,,,,
12.917,,,,
12.933,,,,
12.95,,,,
12.967,,,,
12.983,,,,
13.0,,,,
13.017,,,,
13.033,,,,
13.05,,,,
13.067,,,,
13.083,,,,
13.1,,,,
13.117,,,,
13.133,,,,
13.15,,,,
13.167,,,,
13.183,,,,
13.2,,,,
13.217,,,,
13.233,,,,
13.25,,,,
13.267,,,,
13.283,,,,
13.3,,,,
13.317,,,,
13.333,-4.142,-0.05889,-0.01262,
13.35,,,,
13.367,,,,
13.383,,,,
13.4,,,,
13.417,,,,
13.433,,,,
13.45,,,,
13.467,,,,
13.483,,,,
13.5,,,,
13.517,,,,
13.533,,,,
13.55,,,,
13.567,,,,
13.583,,,,
13.6,,,,
13.617,,,,
13.633,,,,
13.65,,,,
13.667,,,,
13.683,,,,
13.7,,,,
13.717,,,,
13.733,,,,
13.75,,,,
13.767,,,,
13.783,,,,
13.8,,,,
13.817,,,,
13.833,,,,
13.85,,,,
13.867,,,,
13.883,,,,
13.9,,,,
13.917,,,,
13.933,,,,
13.95,,,,
13.967,,,,
13.983,,,,
14.0,-4.162,-0.07361,-0.00631,
14.017,,,,
14.033,,,,
14.05,,,,
14.067,,,,
14.083,,,,
14.1,,,,
14.117,,,,
14.133,,,,
14.15,,,,
14.167,,,,
14.183,,,,
14.2,,,,
14.217,,,,
14.233,,,,
14.25,,,,
14.267,,,,
14.283,,,,
14.3,,,,
14.317,,,,
14.333,,,,
14.35,,,,
14.367,,,,
14.383,,,,
14.4,,,,
14.417,,,,
14.433,,,,
14.45,,,,
14.467,,,,
14.483,,,,
14.5,,,,
14.517,,,,
14.533,,,,
14.55,,,,
14.567,,,,
14.583,,,,
14.6,,,,
14.617,,,,
14.633,,,,
14.65,,,,
14.667,-4.24,-0.08834,0.0,
14.683,,,,
14.7,,,,
14.717,,,,
14.733,,,,
14.75,,,,
14.767,,,,
14.783,,,,
14.8,,,,
14.817,,,,
14.833,,,,
14.85,,,,
14.867,,,,
14.883,,,,
14.9,,,,
14.917,,,,
14.933,,,,
14.95,,,,
14.967,,,,
14.983,,,,
15.0,,,,
15.017,,,,
15.033,,,,
15.05,,,,
15.067,,,,
15.083,,,,
15.1,,,,
15.117,,,,
15.133,,,,
15.15,,,,
15.167,,,,
15.183,,,,
15.2,,,,
15.217,,,,
15.233,,,,
15.25,,,,
15.267,,,,
15.283,,,,
15.3,,,,
15.317,,,,
15.333,-4.279,-0.05889,0.01262,
15.35,,,,
15.367,,,,
15.383,,,,
15.4,,,,
15.417,,,,
15.433,,,,
15.45,,,,
15.467,,,,
15.483,,,,
15.5,,,,
15.517,,,,
15.533,,,,
15.55,,,,
15.567,,,,
15.583,,,,
15.6,,,,
15.617,,,,
15.633,,,,
15.65,,,,
15.667,,,,
15.683,,,,
15.7,,,,
15.717,,,,
15.733,,,,
15.75,,,,
15.767,,,,
15.783,,,,
15.8,,,,
15.817,,,,
15.833,,,,
15.85,,,,
15.867,,,,
15.883,,,,
15.9,,,,
15.917,,,,
15.933,,,,
15.95,,,,
15.967,,,,
15.983,,,,
16.0,-4.319,-0.07361,-0.04417,
16.017,,,,
16.033,,,,
16.05,,,,
16.067,,,,
16.083,,,,
16.1,,,,
16.117,,,,
16.133,,,,
16.15,,,,
16.167,,,,
16.183,,,,
16.2,,,,
16.217,,,,
16.233,,,,
16.25,,,,
16.267,,,,
16.283,,,,
16.3,,,,
16.317,,,,
16.333,,,,
16.35,,,,
16.367,,,,
16.383,,,,
16.4,,,,
16.417,,,,
16.433,,,,
16.45,,,,
16.467,,,,
16.483,,,,
16.5,,,,
16.517,,,,
16.533,,,,
16.55,,,,
16.567,,,,
16.583,,,,
16.6,,,,
16.617,,,,
16.633,,,,
16.65,,,,
16.667,-4.378,-0.118,-0.01262,
16.683,,,,
16.7,,,,
16.717,,,,
16.733,,,,
16.75,,,,
16.767,,,,
16.783,,,,
16.8,,,,
16.817,,,,
16.833,,,,
16.85,,,,
16.867,,,,
16.883,,,,
16.9,,,,
16.917,,,,
16.933,,,,
16.95,,,,
16.967,,,,
16.983,,,,
17.0,,,,
17.017,,,,
17.033,,,,
17.05,,,,
17.067,,,,
17.083,,,,
17.1,,,,
17.117,,,,
17.133,,,,
17.15,,,,
17.167,,,,
17.183,,,,
17.2,,,,
17.217,,,,
17.233,,,,
17.25,,,,
17.267,,,,
17.283,,,,
17.3,,,,
17.317,,,,
17.333,-4.476,-0.103,0.03155,
17.35,,,,
17.367,,,,
17.383,,,,
17.4,,,,
17.417,,,,
17.433,,,,
17.45,,,,
17.467,,,,
17.483,,,,
17.5,,,,
17.517,,,,
17.533,,,,
17.55,,,,
17.567,,,,
17.583,,,,
17.6,,,,
17.617,,,,
17.633,,,,
17.65,,,,
17.667,,,,
17.683,,,,
17.7,,,,
17.717,,,,
17.733,,,,
17.75,,,,
17.767,,,,
17.783,,,,
17.8,,,,
17.817,,,,
17.833,,,,
17.85,,,,
17.867,,,,
17.883,,,,
17.9,,,,
17.917,,,,
17.933,,,,
17.95,,,,
17.967,,,,
17.983,,,,
18.0,-4.515,-0.05889,0.02524,
18.017,,,,
18.033,,,,
18.05,,,,
18.067,,,,
18.083,,,,
18.1,,,,
18.117,,,,
18.133,,,,
18.15,,,,
18.167,,,,
18.183,,,,
18.2,,,,
18.217,,,,
18.233,,,,
18.25,,,,
18.267,,,,
18.283,,,,
18.3,,,,
18.317,,,,
18.333,,,,
18.35,,,,
18.367,,,,
18.383,,,,
18.4,,,,
18.417,,,,
18.433,,,,
18.45,,,,
18.467,,,,
18.483,,,,
18.5,,,,
18.517,,,,
18.533,,,,
18.55,,,,
18.567,,,,
18.583,,,,
18.6,,,,
18.617,,,,
18.633,,,,
18.65,,,,
18.667,-4.554,-0.07361,-0.04417,
18.683,,,,
18.7,,,,
18.717,,,,
18.733,,,,
18.75,,,,
18.767,,,,
18.783,,,,
18.8,,,,
18.817,,,,
18.833,,,,
18.85,,,,
18.867,,,,
18.883,,,,
18.9,,,,
18.917,,,,
18.933,,,,
18.95,,,,
18.967,,,,
18.983,,,,
19.0,,,,
19.017,,,,
19.033,,,,
19.05,,,,
19.067,,,,
19.083,,,,
19.1,,,,
19.117,,,,
19.133,,,,
19.15,,,,
19.167,,,,
19.183,,,,
19.2,,,,
19.217,,,,
19.233,,,,
19.25,,,,
19.267,,,,
19.283,,,,
19.3,,,,
19.317,,,,
19.333,-4.613,-0.118,-0.02524,
19.35,,,,
19.367,,,,
19.383,,,,
19.4,,,,
19.417,,,,
19.433,,,,
19.45,,,,
19.467,,,,
19.483,,,,
19.5,,,,
19.517,,,,
19.533,,,,
19.55,,,,
19.567,,,,
19.583,,,,
19.6,,,,
19.617,,,,
19.633,,,,
19.65,,,,
19.667,,,,
19.683,,,,
19.7,,,,
19.717,,,,
19.733,,,,
19.75,,,,
19.767,,,,
19.783,,,,
19.8,,,,
19.817,,,,
19.833,,,,
19.85,,,,
19.867,,,,
19.883,,,,
19.9,,,,
19.917,,,,
19.933,,,,
19.95,,,,
19.967,,,,
19.983,,,,
20.0,-4.711,-0.118,0.02524,
20.017,,,,
20.033,,,,
20.05,,,,
20.067,,,,
20.083,,,,
20.1,,,,
20.117,,,,
20.133,,,,
20.15,,,,
20.167,,,,
20.183,,,,
20.2,,,,
20.217,,,,
20.233,,,,
20.25,,,,
20.267,,,,
20.283,,,,
20.3,,,,
20.317,,,,
20.333,,,,
20.35,,,,
20.367,,,,
20.383,,,,
20.4,,,,
20.417,,,,
20.433,,,,
20.45,,,,
20.467,,,,
20.483,,,,
20.5,,,,
20.517,,,,
20.533,,,,
20.55,,,,
20.567,,,,
20.583,,,,
20.6,,,,
20.617,,,,
20.633,,,,
20.65,,,,
20.667,-4.77,-0.07361,-0.03155,
20.683,,,,
20.7,,,,
20.717,,,,
20.733,,,,
20.75,,,,
20.767,,,,
20.783,,,,
20.8,,,,
20.817,,,,
20.833,,,,
20.85,,,,
20.867,,,,
20.883,,,,
20.9,,,,
20.917,,,,
20.933,,,,
20.95,,,,
20.967,,,,
20.983,,,,
21.0,,,,
21.017,,,,
21.033,,,,
21.05,,,,
21.067,,,,
21.083,,,,
21.1,,,,
21.117,,,,
21.133,,,,
21.15,,,,
21.167,,,,
21.183,,,,
21.2,,,,
21.217,,,,
21.233,,,,
21.25,,,,
21.267,,,,
21.283,,,,
21.3,,,,
21.317,,,,
21.333,-4.809,-0.147,-0.01262,
21.35,,,,
21.367,,,,
21.383,,,,
21.4,,,,
21.417,,,,
21.433,,,,
21.45,,,,
21.467,,,,
21.483,,,,
21.5,,,,
21.517,,,,
21.533,,,,
21.55,,,,
21.567,,,,
21.583,,,,
21.6,,,,
21.617,,,,
21.633,,,,
21.65,,,,
21.667,,,,
21.683,,,,
21.7,,,,
21.717,,,,
21.733,,,,
21.75,,,,
21.767,,,,
21.783,,,,
21.8,,,,
21.817,,,,
21.833,,,,
21.85,,,,
21.867,,,,
21.883,,,,
21.9,,,,
21.917,,,,
21.933,,,,
21.95,,,,
21.967,,,,
21.983,,,,
22.0,-4.966,-0.133,0.04417,
22.017,,,,
22.033,,,,
22.05,,,,
22.067,,,,
22.083,,,,
22.1,,,,
22.117,,,,
22.133,,,,
22.15,,,,
22.167,,,,
22.183,,,,
22.2,,,,
22.217,,,,
22.233,,,,
22.25,,,,
22.267,,,,
22.283,,,,
22.3,,,,
22.317,,,,
22.333,,,,
22.35,,,,
22.367,,,,
22.383,,,,
22.4,,,,
22.417,,,,
22.433,,,,
22.45,,,,
22.467,,,,
22.483,,,,
22.5,,,,
22.517,,,,
22.533,,,,
22.55,,,,
22.567,,,,
22.583,,,,
22.6,,,,
22.617,,,,
22.633,,,,
22.65,,,,
22.667,-4.986,-0.04417,0.05679,
22.683,,,,
22.7,,,,
22.717,,,,
22.733,,,,
22.75,,,,
22.767,,,,
22.783,,,,
22.8,,,,
22.817,,,,
22.833,,,,
22.85,,,,
22.867,,,,
22.883,,,,
22.9,,,,
22.917,,,,
22.933,,,,
22.95,,,,
22.967,,,,
22.983,,,,
23.0,,,,
23.017,,,,
23.033,,,,
23.05,,,,
23.067,,,,
23.083,,,,
23.1,,,,
23.117,,,,
23.133,,,,
23.15,,,,
23.167,,,,
23.183,,,,
23.2,,,,
23.217,,,,
23.233,,,,
23.25,,,,
23.267,,,,
23.283,,,,
23.3,,,,
23.317,,,,
23.333,-5.025,-0.07361,-0.06941,
23.35,,,,
23.367,,,,
23.383,,,,
23.4,,,,
23.417,,,,
23.433,,,,
23.45,,,,
23.467,,,,
23.483,,,,
23.5,,,,
23.517,,,,
23.533,,,,
23.55,,,,
23.567,,,,
23.583,,,,
23.6,,,,
23.617,,,,
23.633,,,,
23.65,,,,
23.667,,,,
23.683,,,,
23.7,,,,
23.717,,,,
23.733,,,,
23.75,,,,
23.767,,,,
23.783,,,,
23.8,,,,
23.817,,,,
23.833,,,,
23.85,,,,
23.867,,,,
23.883,,,,
23.9,,,,
23.917,,,,
23.933,,,,
23.95,,,,
23.967,,,,
23.983,,,,
24.0,-5.084,-0.133,-0.03155,
24.017,,,,
24.033,,,,
24.05,,,,
24.067,,,,
24.083,,,,
24.1,,,,
24.117,,,,
24.133,,,,
24.15,,,,
24.167,,,,
24.183,,,,
24.2,,,,
24.217,,,,
24.233,,,,
24.25,,,,
24.267,,,,
24.283,,,,
24.3,,,,
24.317,,,,
24.333,,,,
24.35,,,,
24.367,,,,
24.383,,,,
24.4,,,,
24.417,,,,
24.433,,,,
24.45,,,,
24.467,,,,
24.483,,,,
24.5,,,,
24.517,,,,
24.533,,,,
24.55,,,,
24.567,,,,
24.583,,,,
24.6,,,,
24.617,,,,
24.633,,,,
24.65,,,,
24.667,-5.202,-0.133,0.00631,
24.683,,,,
24.7,,,,
24.717,,,,
24.733,,,,
24.75,,,,
24.767,,,,
24.783,,,,
24.8,,,,
24.817,,,,
24.833,,,,
24.85,,,,
24.867,,,,
24.883,,,,
24.9,,,,
24.917,,,,
24.933,,,,
24.95,,,,
24.967,,,,
24.983,,,,
25.0,,,,
25.017,,,,
25.033,,,,
25.05,,,,
25.067,,,,
25.083,,,,
25.1,,,,
25.117,,,,
25.133,,,,
25.15,,,,
25.167,,,,
25.183,,,,
25.2,,,,
25.217,,,,
25.233,,,,
25.25,,,,
25.267,,,,
25.283,,,,
25.3,,,,
25.317,,,,
25.333,-5.261,-0.103,0.04417,
25.35,,,,
25.367,,,,
25.383,,,,
25.4,,,,
25.417,,,,
25.433,,,,
25.45,,,,
25.467,,,,
25.483,,,,
25.5,,,,
25.517,,,,
25.533,,,,
25.55,,,,
25.567,,,,
25.583,,,,
25.6,,,,
25.617,,,,
25.633,,,,
25.65,,,,
25.667,,,,
25.683,,,,
25.7,,,,
25.717,,,,
25.733,,,,
25.75,,,,
25.767,,,,
25.783,,,,
25.8,,,,
25.817,,,,
25.833,,,,
25.85,,,,
25.867,,,,
25.883,,,,
25.9,,,,
25.917,,,,
25.933,,,,
25.95,,,,
25.967,,,,
25.983,,,,
26.0,-5.339,-0.08834,-0.03786,
26.017,,,,
26.033,,,,
26.05,,,,
26.067,,,,
26.083,,,,
26.1,,,,
26.117,,,,
26.133,,,,
26.15,,,,
26.167,,,,
26.183,,,,
26.2,,,,
26.217,,,,
26.233,,,,
26.25,,,,
26.267,,,,
26.283,,,,
26.3,,,,
26.317,,,,
26.333,,,,
26.35,,,,
26.367,,,,
26.383,,,,
26.4,,,,
26.417,,,,
26.433,,,,
26.45,,,,
26.467,,,,
26.483,,,,
26.5,,,,
26.517,,,,
26.533,,,,
26.55,,,,
26.567,,,,
26.583,,,,
26.6,,,,
26.617,,,,
26.633,,,,
26.65,,,,
26.667,-5.379,-0.133,-0.04417,
26.683,,,,
26.7,,,,
26.717,,,,
26.733,,,,
26.75,,,,
26.767,,,,
26.783,,,,
26.8,,,,
26.817,,,,
26.833,,,,
26.85,,,,
26.867,,,,
26.883,,,,
26.9,,,,
26.917,,,,
26.933,,,,
26.95,,,,
26.967,,,,
26.983,,,,
27.0,,,,
27.017,,,,
27.033,,,,
27.05,,,,
27.067,,,,
27.083,,,,
27.1,,,,
27.117,,,,
27.133,,,,
27.15,,,,
27.167,,,,
27.183,,,,
27.2,,,,
27.217,,,,
27.233,,,,
27.25,,,,
27.267,,,,
27.283,,,,
27.3,,,,
27.317,,,,
27.333,-5.516,-0.177,-0.01262,
27.35,,,,
27.367,,,,
27.383,,,,
27.4,,,,
27.417,,,,
27.433,,,,
27.45,,,,
27.467,,,,
27.483,,,,
27.5,,,,
27.517,,,,
27.533,,,,
27.55,,,,
27.567,,,,
27.583,,,,
27.6,,,,
27.617,,,,
27.633,,,,
27.65,,,,
27.667,,,,
27.683,,,,
27.7,,,,
27.717,,,,
27.733,,,,
27.75,,,,
27.767,,,,
27.783,,,,
27.8,,,,
27.817,,,,
27.833,,,,
27.85,,,,
27.867,,,,
27.883,,,,
27.9,,,,
27.917,,,,
27.933,,,,
27.95,,,,
27.967,,,,
