Fecha Local,Date,Hour,Temperature
2026-02-22 09:10:00,02/22/26,9:10,11.3
2026-02-22 09:20:00,02/22/26,9:20,11.2
2026-02-22 09:30:00,02/22/26,9:30,11.1
2026-02-22 09:40:00,02/22/26,9:40,11.2
2026-02-22 09:50:00,02/22/26,9:50,11.4
2026-02-22 10:00:00,02/22/26,10:00,11.3
2026-02-22 10:10:00,02/22/26,10:10,11.4
2026-02-22 10:20:00,02/22/26,10:20,11.7
2026-02-22 10:30:00,02/22/26,10:30,11.6
2026-02-22 10:40:00,02/22/26,10:40,11.5
2026-02-22 10:50:00,02/22/26,10:50,11.2
2026-02-22 11:00:00,02/22/26,11:00,10.6
2026-02-22 11:10:00,02/22/26,11:10,10.3
2026-02-22 11:20:00,02/22/26,11:20,9.9
2026-02-22 11:30:00,02/22/26,11:30,9.9
2026-02-22 11:40:00,02/22/26,11:40,9.8
2026-02-22 11:50:00,02/22/26,11:50,9.9
2026-02-22 12:00:00,02/22/26,12:00,9.5
2026-02-22 12:10:00,02/22/26,12:10,9.4
2026-02-22 12:20:00,02/22/26,12:20,9.2
2026-02-22 12:30:00,02/22/26,12:30,9.4
2026-02-22 12:40:00,02/22/26,12:40,9.4
2026-02-22 12:50:00,02/22/26,12:50,9.4
2026-02-22 13:00:00,02/22/26,13:00,9.6
2026-02-22 13:10:00,02/22/26,13:10,9.6
2026-02-22 13:20:00,02/22/26,13:20,9.4
2026-02-22 13:30:00,02/22/26,13:30,9.4
2026-02-22 13:40:00,02/22/26,13:40,9.5
2026-02-22 13:50:00,02/22/26,13:50,9.6
2026-02-22 14:00:00,02/22/26,14:00,9.7
2026-02-22 14:10:00,02/22/26,14:10,9.6
2026-02-22 14:20:00,02/22/26,14:20,9.8
2026-02-22 14:30:00,02/22/26,14:30,9.7
2026-02-22 14:40:00,02/22/26,14:40,9.6
2026-02-22 14:50:00,02/22/26,14:50,9.7
2026-02-22 15:00:00,02/22/26,15:00,9.7
2026-02-22 15:10:00,02/22/26,15:10,9.8
2026-02-22 15:20:00,02/22/26,15:20,9.8
2026-02-22 15:30:00,02/22/26,15:30,9.9
2026-02-22 15:40:00,02/22/26,15:40,9.8
2026-02-22 15:50:00,02/22/26,15:50,9.9
2026-02-22 16:00:00,02/22/26,16:00,9.9
2026-02-22 16:10:00,02/22/26,16:10,10
2026-02-22 16:20:00,02/22/26,16:20,10.1
2026-02-22 16:30:00,02/22/26,16:30,10
2026-02-22 16:40:00,02/22/26,16:40,10
2026-02-22 16:50:00,02/22/26,16:50,10.1
2026-02-22 17:00:00,02/22/26,17:00,10
2026-02-22 17:10:00,02/22/26,17:10,9.9
2026-02-22 17:20:00,02/22/26,17:20,9.9
2026-02-22 17:30:00,02/22/26,17:30,9.8
2026-02-22 17:40:00,02/22/26,17:40,9.6
2026-02-22 17:50:00,02/22/26,17:50,9.5
2026-02-22 18:00:00,02/22/26,18:00,9.4
2026-02-22 18:10:00,02/22/26,18:10,9.4
2026-02-22 18:20:00,02/22/26,18:20,9.3
2026-02-22 18:30:00,02/22/26,18:30,9.2
2026-02-22 18:40:00,02/22/26,18:40,9.1
2026-02-22 18:50:00,02/22/26,18:50,9.1
2026-02-22 19:00:00,02/22/26,19:00,8.9
2026-02-22 19:10:00,02/22/26,19:10,8.9
2026-02-22 19:20:00,02/22/26,19:20,8.8
2026-02-22 19:30:00,02/22/26,19:30,8.8
2026-02-22 19:40:00,02/22/26,19:40,8.7
2026-02-22 19:50:00,02/22/26,19:50,8.7
2026-02-22 20:00:00,02/22/26,20:00,8.6
2026-02-22 20:10:00,02/22/26,20:10,8.5
2026-02-22 20:20:00,02/22/26,20:20,8.4
2026-02-22 20:30:00,02/22/26,20:30,8.4
2026-02-22 20:40:00,02/22/26,20:40,8.3
2026-02-22 20:50:00,02/22/26,20:50,8.2
2026-02-22 21:00:00,02/22/26,21:00,8
2026-02-22 21:10:00,02/22/26,21:10,7.8
2026-02-22 21:20:00,02/22/26,21:20,7.6
2026-02-22 21:30:00,02/22/26,21:30,7.4
2026-02-22 21:40:00,02/22/26,21:40,7.3
2026-02-22 21:50:00,02/22/26,21:50,7
2026-02-22 22:00:00,02/22/26,22:00,6.6
2026-02-22 22:10:00,02/22/26,22:10,6.2
2026-02-22 22:20:00,02/22/26,22:20,6
2026-02-22 22:30:00,02/22/26,22:30,5.8
2026-02-22 22:40:00,02/22/26,22:40,5.5
2026-02-22 22:50:00,02/22/26,22:50,5.3
2026-02-22 23:00:00,02/22/26,23:00,5.1
2026-02-22 23:10:00,02/22/26,23:10,5
2026-02-22 23:20:00,02/22/26,23:20,4.9
2026-02-22 23:30:00,02/22/26,23:30,4.9
2026-02-22 23:40:00,02/22/26,23:40,4.9
2026-02-22 23:50:00,02/22/26,23:50,4.8
